,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-05-26 15:31:55.929,2697,OK,169.5,917.25,232.75,868.75,274.0,859.75,317.0,863.5,369.5,907.75,330.0,892.5,305.25,894.75,280.0,895.75,280.5,920.0,254.5,896.75,223.75,899.5,234.75,947.5,281.75,944.25,319.0,933.75,351.75,922.75,400.5,910.25,350.25,879.25,322.5,919.25,276.25,945.5,233.0,926.0,198.25,939.0,258.5,909.0,258.0,884.25,301.75,882.25,302.0,907.5,197.0,889.0,153.25,921.75,913.25,911.5,846.0,864.0,802.25,855.25,759.0,860.5,708.5,909.0,738.5,886.75,766.5,889.25,792.5,890.5,791.75,915.75,819.5,891.5,850.0,893.75,843.75,943.5,790.0,941.25,757.25,934.25,723.25,923.5,679.5,912.5,724.25,878.25,747.25,917.5,800.25,943.5,839.5,920.75,881.75,935.0,815.25,904.5,816.25,878.0,770.25,876.0,769.5,902.75,883.25,884.5,929.5,916.25
1,2024-05-26 15:31:55.964,2698,OK,167.75,915.5,231.75,868.5,273.25,859.5,316.25,862.75,369.0,907.25,328.75,891.0,303.75,893.25,279.0,894.5,279.5,918.25,254.0,895.5,222.75,898.0,233.5,945.75,280.25,943.0,317.75,932.5,350.5,921.25,400.0,909.5,349.75,878.75,321.5,917.75,274.75,944.0,231.5,925.0,196.75,937.25,258.0,907.5,257.5,883.25,300.25,881.25,300.5,905.75,195.5,888.5,153.0,920.5,913.25,910.25,845.25,862.75,801.5,853.75,757.75,859.0,706.75,907.5,737.75,884.75,767.5,887.25,791.25,888.5,790.25,911.5,815.5,889.5,848.75,892.0,842.75,942.0,788.25,939.0,755.75,932.25,722.0,921.75,678.25,910.5,723.25,876.25,746.0,915.5,798.75,941.75,838.0,919.5,881.5,933.75,811.75,901.5,813.0,877.25,771.0,875.25,770.25,899.5,883.25,882.75,929.25,915.25
2,2024-05-26 15:31:55.996,2699,OK,168.0,915.0,232.25,867.25,273.5,858.25,316.25,861.75,367.5,906.25,329.0,889.75,304.25,892.0,278.5,893.25,279.25,917.5,252.75,894.5,223.25,897.25,234.5,945.25,280.25,942.0,318.25,931.25,350.75,920.25,399.5,908.5,349.5,877.75,322.0,916.75,275.75,943.25,232.25,924.5,197.5,937.5,257.0,906.75,256.25,882.0,300.75,879.75,301.0,904.75,196.25,887.0,153.0,920.0,913.0,908.75,845.25,861.75,801.0,852.5,757.5,858.0,707.75,906.5,737.75,884.75,766.0,887.25,791.5,888.25,790.5,912.75,817.5,889.5,848.75,891.75,842.75,940.5,788.75,938.5,756.0,931.25,722.25,920.75,678.75,910.25,723.25,875.75,746.25,914.75,799.0,940.25,838.0,918.75,881.0,932.5,813.5,902.0,814.5,876.5,769.75,874.5,769.0,900.25,882.75,882.0,929.25,913.75
3,2024-05-26 15:31:56.034,2700,OK,168.5,914.75,231.25,867.0,272.0,858.0,314.5,860.75,367.5,905.5,328.5,889.75,304.0,891.25,277.75,892.5,278.0,917.75,250.75,893.25,220.75,895.5,233.25,945.0,279.0,941.75,316.25,931.75,349.25,920.75,398.5,908.25,348.25,876.75,321.0,917.0,274.0,942.75,230.5,923.25,197.25,936.75,255.0,906.25,254.5,880.0,300.5,878.25,300.25,904.75,196.0,887.0,152.5,919.25,912.75,908.75,845.0,861.25,800.75,853.0,757.75,858.0,707.5,906.0,737.25,883.75,763.5,885.75,791.5,886.75,790.75,913.5,820.25,887.75,849.0,889.75,842.75,940.0,789.25,937.75,756.25,930.75,722.0,920.75,678.0,909.25,722.75,875.25,746.25,914.0,798.75,939.75,838.25,917.5,881.25,932.0,816.0,901.5,817.0,873.5,767.5,871.75,767.0,900.0,882.75,881.75,930.0,913.75
4,2024-05-26 15:31:56.066,2701,OK,167.5,913.25,231.25,865.25,272.5,856.25,315.0,859.75,365.75,904.5,328.25,888.25,303.0,890.25,278.0,891.5,278.5,916.0,252.25,892.75,222.0,895.25,232.75,943.75,279.25,940.0,316.5,930.0,348.75,919.0,398.0,906.5,347.75,875.25,320.75,915.0,274.0,941.5,230.75,922.0,196.25,935.25,256.25,905.0,256.0,879.75,299.75,877.75,299.75,903.25,195.5,885.25,152.25,917.5,911.0,906.5,843.25,858.75,799.5,850.5,756.0,856.0,705.75,904.5,736.25,881.25,765.5,883.5,790.75,884.75,789.75,909.25,816.5,885.75,848.25,888.25,840.75,939.0,787.75,936.0,754.0,929.0,720.5,919.0,677.0,908.25,721.5,873.75,745.25,912.5,797.25,938.25,837.5,915.75,879.5,930.25,812.75,898.5,813.75,872.75,769.0,870.75,768.5,896.5,881.25,879.5,928.0,912.0
5,2024-05-26 15:31:56.097,2702,OK,167.75,911.5,231.0,863.75,272.25,855.25,314.25,858.5,365.25,902.0,327.25,887.0,301.75,889.25,276.75,890.5,277.25,914.5,251.75,891.75,221.5,894.5,233.0,942.0,278.5,938.75,316.0,928.25,348.5,917.0,397.25,905.25,347.25,874.0,320.0,913.5,274.25,940.0,230.0,920.5,196.25,933.75,255.75,903.75,255.0,879.25,298.25,877.0,298.25,902.0,195.25,883.5,151.75,915.5,909.5,903.75,843.25,857.25,799.25,849.0,756.25,854.0,705.75,902.75,736.5,881.0,764.25,883.0,790.5,883.75,790.0,909.25,817.5,884.5,847.75,886.25,841.5,936.25,788.75,934.25,755.25,927.25,721.25,916.75,676.5,905.5,722.0,871.75,745.5,911.25,798.0,936.5,838.0,913.25,879.25,927.25,813.5,897.75,814.0,871.0,768.0,869.75,767.75,896.5,880.5,877.25,925.5,908.5
6,2024-05-26 15:31:56.131,2703,OK,165.75,910.25,230.5,862.5,272.25,853.5,314.75,857.0,367.5,902.0,327.75,885.0,302.0,887.25,277.5,888.5,278.0,912.25,252.75,889.75,221.25,892.25,232.0,940.25,278.75,937.25,316.0,927.0,349.0,915.5,398.5,904.5,348.0,872.75,320.25,912.25,273.5,938.5,230.0,919.25,195.25,931.75,256.5,901.75,256.0,877.0,298.75,875.0,298.75,900.0,194.25,882.75,151.0,915.25,910.75,902.75,843.5,856.25,799.75,847.25,756.5,852.75,706.25,901.5,737.0,879.25,764.0,881.25,791.0,882.25,790.25,908.5,818.75,883.0,848.5,885.0,841.75,935.25,789.0,933.25,755.0,926.0,721.75,915.75,677.25,904.5,722.5,870.25,745.75,909.5,798.0,935.25,838.5,912.25,879.5,926.25,814.5,896.75,815.25,869.25,767.75,867.5,767.25,895.25,881.0,876.5,926.75,907.75
7,2024-05-26 15:31:56.168,2704,OK,168.25,908.75,231.5,860.25,272.75,851.5,315.25,855.0,367.0,899.5,328.0,883.5,303.25,885.75,277.75,887.0,278.25,911.25,251.75,888.25,220.75,891.0,233.5,939.25,279.5,935.75,317.25,925.25,349.5,914.25,398.5,901.75,348.5,871.0,320.75,910.25,274.75,936.75,230.5,917.5,197.25,931.0,255.75,900.25,255.0,875.5,299.75,873.5,299.75,898.5,196.0,879.75,151.5,913.25,913.5,902.75,846.0,855.25,801.75,846.5,758.5,851.5,707.5,899.75,737.75,878.0,763.5,880.25,792.25,881.25,791.25,908.5,821.5,882.25,849.75,884.25,843.25,934.25,789.5,931.75,756.25,924.75,722.25,914.5,678.5,903.25,723.25,869.25,746.25,908.5,799.25,934.0,839.25,911.5,881.75,925.5,817.0,896.5,818.0,867.75,767.5,866.0,767.0,895.0,883.75,875.25,930.5,908.0
8,2024-05-26 15:31:56.206,2705,OK,167.75,907.75,232.0,859.5,273.0,850.25,315.5,853.5,367.25,898.0,329.0,882.5,304.5,884.5,278.75,885.5,279.25,910.5,252.5,886.5,222.0,889.0,234.25,938.25,280.25,934.5,317.75,924.25,350.5,912.5,399.5,900.0,348.75,869.0,321.75,909.0,275.5,936.25,231.25,915.75,198.0,929.75,256.75,899.25,256.0,873.5,301.0,871.75,301.0,897.75,196.5,879.25,152.25,912.25,914.75,900.75,846.5,853.75,802.25,845.25,758.75,850.5,708.5,898.5,739.0,877.0,767.25,879.0,793.25,880.25,792.5,905.0,820.0,881.0,850.75,883.25,844.5,933.5,790.75,930.5,757.25,923.75,723.5,912.75,679.75,902.5,724.25,868.0,747.75,906.75,800.25,933.25,840.25,910.25,883.25,924.75,815.75,894.0,816.5,868.0,771.0,866.0,770.5,892.25,884.75,874.5,930.75,906.0
9,2024-05-26 15:31:56.229,2706,OK,167.25,906.0,232.5,857.75,274.25,849.25,317.0,852.75,368.75,896.5,329.0,881.0,304.5,883.0,278.75,884.0,279.0,909.25,252.5,885.0,221.75,887.5,233.75,936.0,279.75,933.25,318.25,922.25,350.5,911.5,399.75,899.25,349.75,868.5,321.5,907.75,275.75,934.0,230.75,914.25,197.0,927.5,256.5,897.75,256.0,872.0,301.0,870.0,301.0,896.25,196.0,878.0,150.25,910.75,913.75,900.25,846.75,853.25,802.5,844.5,759.5,849.25,707.75,897.0,739.0,876.5,766.0,878.5,793.25,879.25,792.5,906.0,821.25,880.25,850.5,882.0,844.0,931.5,791.0,928.75,757.25,922.0,723.5,911.0,679.0,900.75,724.5,866.75,747.5,906.25,800.0,931.25,840.25,908.75,882.75,923.25,817.0,894.0,817.75,866.0,769.75,864.5,769.5,892.5,884.5,873.75,930.25,905.25
