,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-08-15 13:56:30.381,2080,OK,179.8,633.5,234.0,589.3,273.3,583.0,312.8,591.0,358.8,640.3,329.8,618.3,303.3,618.5,277.5,618.5,277.5,643.0,252.0,618.3,222.5,617.8,232.5,660.3,277.3,661.3,311.3,656.8,342.8,651.3,387.8,648.0,344.0,609.8,323.5,644.3,271.5,662.3,230.3,643.5,202.0,650.5,255.5,631.3,255.8,604.8,299.8,605.3,299.3,631.5,202.3,606.5,161.5,639.0,894.3,645.3,832.3,599.0,792.3,592.5,753.0,598.3,705.3,648.3,741.8,625.5,771.3,626.0,795.8,626.0,795.8,649.3,820.3,626.0,853.3,625.8,833.3,670.0,795.5,671.5,754.0,666.0,721.3,659.3,668.8,655.5,720.5,617.3,749.0,653.0,793.5,672.0,844.3,653.3,866.3,661.0,816.8,638.5,816.5,613.8,774.5,613.8,774.8,638.5,865.8,616.8,912.3,651.5
1,2024-08-15 13:56:30.424,2081,OK,162.3,670.5,223.8,638.8,262.3,629.0,301.8,629.5,356.8,653.5,312.5,644.8,285.0,644.5,266.0,644.5,266.3,659.5,246.8,645.0,220.0,647.0,226.8,689.3,266.5,685.8,304.8,678.8,338.8,669.8,390.5,653.3,335.8,637.0,302.0,668.3,265.5,688.5,231.5,670.8,193.0,686.3,249.5,652.8,249.3,637.8,283.0,637.3,282.3,652.5,190.3,652.0,143.3,674.5,873.8,664.5,820.5,637.3,785.5,630.8,752.5,631.5,704.8,651.8,737.3,641.3,771.5,640.8,786.5,641.0,786.3,652.0,801.3,641.5,834.5,644.3,818.5,669.8,785.8,669.5,750.5,662.8,722.8,660.0,668.0,656.8,724.5,638.3,745.8,659.3,783.8,668.5,824.8,662.0,846.8,668.8,799.5,646.5,799.5,637.5,773.0,636.5,773.3,646.0,848.8,648.3,898.5,669.5
2,2024-08-15 13:56:30.461,2082,OK,160.0,687.3,223.5,666.0,262.8,657.5,299.8,656.5,351.8,672.0,305.5,672.8,276.5,673.0,266.0,673.5,266.3,681.5,255.0,673.5,226.8,675.0,224.3,701.5,266.8,699.0,300.8,690.8,334.3,684.5,380.0,674.0,332.8,661.3,298.3,688.5,263.8,700.3,232.5,691.0,189.5,700.8,257.0,678.5,256.8,668.5,275.0,668.8,274.0,678.3,188.0,676.0,138.5,689.0,869.5,685.8,815.8,668.5,778.8,660.5,743.8,658.3,687.3,665.3,738.8,667.3,769.8,667.0,775.3,667.3,775.0,670.8,781.5,667.8,809.8,670.0,814.0,693.5,774.8,687.5,741.8,682.5,710.8,675.8,661.8,667.5,713.0,658.5,746.8,680.8,776.5,691.3,802.0,684.3,843.0,693.8,779.8,669.3,780.5,666.5,770.8,666.3,771.0,669.0,844.8,675.8,893.5,686.3
3,2024-08-15 13:56:30.487,2083,OK,156.5,682.8,222.0,666.0,259.5,658.3,296.5,655.8,349.5,669.3,297.0,672.3,273.5,672.8,261.0,673.0,261.0,682.5,247.8,673.0,224.0,674.5,221.8,700.8,261.3,697.5,296.8,690.3,330.0,683.0,377.5,673.5,329.0,659.8,290.5,686.3,259.5,699.5,229.5,688.8,188.8,699.0,250.3,679.0,249.5,667.3,271.8,667.5,271.0,678.8,187.8,673.8,134.0,685.0,868.5,694.3,810.5,673.0,773.0,665.0,736.8,662.3,681.8,672.8,733.3,677.3,760.3,677.3,771.3,677.5,771.0,686.3,782.5,677.5,807.8,679.8,808.5,709.0,770.8,704.8,734.5,695.5,702.5,686.5,655.3,676.8,705.3,663.0,740.0,692.0,770.3,706.8,800.8,695.8,841.8,707.8,780.3,682.8,780.8,673.0,762.0,673.0,762.3,682.3,843.3,680.5,891.0,694.5
4,2024-08-15 13:56:30.525,2084,OK,166.5,674.5,227.0,650.8,265.3,643.3,301.8,642.0,357.0,661.8,309.0,654.5,276.3,654.3,263.3,654.5,263.3,664.0,250.0,654.8,216.3,656.8,229.0,692.8,263.8,689.8,303.3,683.3,337.8,675.5,386.8,662.8,335.5,647.0,299.5,675.3,266.8,692.0,226.5,678.5,197.0,689.3,252.0,660.0,251.8,649.8,274.5,649.5,274.0,659.8,195.0,661.5,144.8,678.5,872.8,679.3,818.0,657.8,782.0,650.8,748.0,649.0,694.0,659.0,736.3,656.8,767.8,657.0,777.5,656.8,777.5,664.0,787.3,657.3,817.0,659.5,815.3,686.8,777.3,683.0,745.0,676.3,714.3,671.0,665.0,659.5,717.0,650.8,745.0,672.3,779.3,684.8,808.0,676.0,844.8,688.0,785.8,660.8,785.5,654.3,769.3,654.0,769.8,660.5,847.3,666.5,896.5,680.0
5,2024-08-15 13:56:30.547,2085,OK,164.5,668.3,225.8,629.3,263.8,621.8,303.5,622.8,356.8,655.8,321.8,642.5,293.3,642.0,269.0,641.8,269.3,661.5,245.0,642.3,217.0,644.3,228.5,690.5,269.5,687.8,306.0,681.8,340.3,673.0,392.0,657.5,338.0,632.3,311.3,667.5,266.8,690.3,229.0,671.3,193.3,684.5,248.3,652.8,248.0,632.8,290.5,632.0,290.0,652.3,190.5,644.3,143.0,673.0,878.0,664.5,822.5,633.3,787.0,626.5,753.0,628.3,703.5,652.5,742.0,639.5,776.0,639.5,790.0,639.5,789.8,650.5,803.8,640.3,839.8,642.5,820.5,673.3,789.3,671.0,751.0,665.8,721.8,661.8,668.0,658.0,723.5,636.3,751.3,659.8,785.0,672.3,830.0,662.3,849.8,671.3,801.5,645.3,802.0,636.0,777.8,635.0,777.8,644.8,851.5,646.0,899.5,672.0
6,2024-08-15 13:56:30.592,2086,OK,185.5,645.3,239.3,612.8,275.8,607.3,310.0,611.8,355.0,645.3,329.3,624.3,296.0,624.0,278.3,624.0,278.3,638.8,260.8,624.3,225.3,625.0,239.5,661.3,278.5,660.0,310.0,657.0,338.8,653.5,386.8,651.3,338.5,624.3,320.8,647.5,276.0,662.0,235.3,650.3,209.8,656.3,263.0,631.8,263.5,616.8,293.5,616.5,293.5,631.5,209.0,626.0,165.0,652.8,879.8,656.0,826.5,619.3,791.3,613.8,756.5,616.3,709.8,651.0,744.3,632.3,777.8,632.3,795.8,632.5,795.8,647.8,813.8,632.8,849.0,633.5,825.5,672.3,795.3,670.8,755.5,666.3,725.5,661.0,671.3,657.8,726.3,628.3,752.8,655.8,790.5,672.3,839.5,658.0,854.3,667.3,811.3,640.3,811.0,625.5,779.8,625.0,780.0,640.0,855.5,634.3,899.3,663.5
7,2024-08-15 13:56:30.618,2087,OK,183.5,642.3,238.0,605.5,275.0,599.8,310.5,604.8,356.0,644.3,329.3,622.0,298.0,622.0,276.0,622.0,276.3,640.3,255.0,622.3,223.3,622.5,238.0,661.0,276.3,660.8,310.3,657.0,340.5,653.5,386.5,650.5,340.5,619.5,321.5,646.5,274.5,662.8,232.8,648.0,207.5,654.3,258.0,631.5,258.5,612.5,295.0,612.5,294.8,631.5,207.0,621.3,164.3,649.5,884.0,652.8,828.8,613.5,791.5,607.5,755.5,611.3,709.0,651.0,744.3,630.3,777.0,630.8,796.3,630.8,796.3,647.3,815.5,631.0,851.0,631.5,828.3,671.3,795.8,671.5,755.0,666.3,724.3,660.3,669.0,657.0,724.5,625.0,752.3,655.0,791.5,672.5,841.3,657.3,858.3,664.5,812.5,639.5,812.5,622.5,779.5,622.0,779.5,639.5,859.0,629.8,902.8,660.8
8,2024-08-15 13:56:30.651,2088,OK,181.5,639.5,234.8,601.5,272.8,595.5,310.0,601.0,355.0,643.8,328.5,621.8,299.0,622.0,276.3,622.0,276.3,641.5,253.5,622.0,222.5,622.0,234.3,661.3,276.0,661.3,309.0,657.3,339.8,652.3,384.3,648.8,340.3,617.5,322.0,645.5,271.8,663.3,230.0,645.8,204.5,652.5,256.8,632.5,257.0,611.8,296.3,611.8,295.5,632.5,204.5,616.5,163.8,647.3,886.3,652.0,831.3,608.8,792.8,602.5,755.5,606.8,708.3,651.0,742.5,628.0,776.0,628.3,795.8,628.5,795.5,646.0,815.5,628.5,852.0,629.0,831.0,672.0,795.3,672.5,755.3,667.5,724.3,662.0,667.8,657.8,724.3,622.3,751.0,655.0,793.0,673.3,842.0,657.0,861.0,664.5,812.5,637.8,812.5,619.5,778.5,619.3,778.3,637.8,861.8,626.5,906.0,659.3
9,2024-08-15 13:56:30.683,2089,OK,181.3,639.3,234.8,598.0,272.5,592.8,309.8,599.5,355.0,644.0,328.5,620.5,299.5,620.8,275.5,620.8,275.5,642.0,251.5,620.8,221.0,621.0,234.0,661.5,275.5,661.8,308.8,658.3,339.8,653.0,386.0,650.8,340.5,616.8,321.3,646.0,271.3,663.5,229.0,645.8,204.8,652.8,255.0,632.0,255.3,609.3,296.3,609.3,295.5,632.0,205.0,613.5,162.5,646.5,887.8,651.3,831.3,608.0,792.3,601.3,754.0,605.5,705.8,652.0,742.0,628.5,772.8,629.0,795.5,629.0,795.5,649.5,818.3,629.3,852.0,629.3,831.5,671.5,795.0,672.8,754.3,667.8,722.3,661.5,667.8,658.0,722.3,622.3,750.0,655.3,792.8,673.3,842.5,656.8,862.0,664.0,814.8,640.0,814.8,618.3,776.0,618.0,776.0,640.0,862.5,625.5,905.8,657.8
