,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-08-16 09:05:22.723,2855,OK,106.0,574.0,162.3,527.8,202.5,523.3,242.0,533.5,281.3,591.0,251.5,569.3,226.5,569.5,203.8,569.5,203.8,590.8,181.0,569.5,154.0,568.8,157.5,608.8,203.5,612.5,237.5,609.8,267.0,603.5,307.5,600.3,270.0,555.8,245.3,594.3,197.0,614.5,159.5,591.3,126.0,594.8,184.0,580.8,184.5,558.3,223.3,558.5,222.8,580.8,129.3,543.0,88.3,575.5,779.5,598.0,724.5,548.0,685.5,542.3,647.8,549.5,604.0,606.0,639.3,585.8,665.8,586.0,688.3,586.0,688.3,607.5,711.0,586.0,740.3,585.8,726.8,630.0,688.3,632.5,650.0,627.0,619.3,618.8,570.8,613.8,617.5,571.0,646.3,611.3,688.0,633.0,732.5,610.5,758.0,618.0,708.0,597.3,707.8,574.8,668.5,574.5,669.0,597.3,756.8,566.5,794.3,601.8
1,2024-08-16 09:05:22.762,2856,OK,105.8,573.8,162.5,529.0,202.5,524.5,241.0,534.5,282.0,589.8,252.3,567.0,227.0,567.3,202.0,567.3,202.0,590.5,176.8,567.3,150.5,567.0,158.3,609.3,201.8,612.3,236.8,609.3,267.3,602.5,308.0,599.0,270.3,555.8,245.5,593.0,197.3,614.3,157.5,590.8,126.0,595.0,180.3,579.8,180.5,555.3,223.5,555.3,223.3,579.8,128.8,543.5,88.5,575.5,781.0,598.3,725.8,548.0,685.8,542.0,647.8,550.0,604.8,606.5,639.5,586.0,665.8,586.0,688.0,586.0,688.0,607.5,710.8,586.0,740.5,585.8,728.3,630.0,688.0,632.3,650.3,627.0,619.3,619.0,571.0,614.0,617.3,571.3,646.5,611.3,689.0,633.0,732.8,610.3,759.8,617.8,707.5,597.3,707.3,574.8,668.8,574.8,669.0,597.5,758.3,566.3,795.8,601.3
2,2024-08-16 09:05:22.795,2857,OK,105.8,573.8,162.5,527.5,202.5,522.5,241.8,533.0,281.3,589.8,252.8,565.5,227.3,566.0,201.5,566.0,201.5,590.5,175.5,565.8,149.0,565.8,158.3,609.0,201.3,613.0,237.0,608.8,267.3,602.8,308.0,598.8,270.5,554.8,245.5,593.0,197.3,614.0,156.8,591.3,126.0,595.0,179.0,579.0,179.3,553.0,223.5,553.0,223.3,579.0,128.8,543.0,88.3,575.3,781.3,597.5,725.8,548.5,686.5,542.3,648.5,549.3,604.0,606.3,639.8,586.3,666.5,586.5,688.5,586.5,688.5,607.5,711.0,586.3,740.5,585.8,728.3,630.3,688.5,632.0,650.8,627.0,619.8,619.0,572.0,614.0,617.8,570.8,646.5,611.5,689.8,633.3,733.0,611.0,759.3,618.0,707.8,597.5,707.5,575.0,669.5,575.0,669.8,597.8,758.0,566.5,795.8,601.3
3,2024-08-16 09:05:22.822,2858,OK,106.0,573.8,162.0,527.5,201.5,523.0,240.0,533.0,280.3,590.0,252.3,566.8,226.8,567.3,202.0,567.3,202.0,590.5,176.8,567.3,150.5,567.0,157.8,609.3,201.8,613.0,235.5,609.5,265.3,603.0,308.0,599.5,268.5,555.0,244.8,593.8,196.5,614.0,157.5,590.8,126.3,595.5,180.0,579.5,180.5,555.0,223.3,555.0,222.8,579.5,129.3,542.8,89.8,574.3,780.0,598.5,725.0,549.3,686.3,542.8,648.0,550.0,603.8,606.3,639.8,586.3,666.5,586.5,688.3,586.5,688.3,607.5,710.0,586.5,740.3,586.3,727.5,629.3,688.3,631.8,650.3,626.5,619.3,618.5,571.3,613.3,617.5,571.5,646.5,611.3,688.8,632.8,732.8,610.5,758.3,617.8,707.0,597.3,706.8,575.8,669.3,575.8,669.5,597.5,757.0,567.0,795.3,602.0
4,2024-08-16 09:05:22.865,2859,OK,106.0,574.0,163.0,527.5,202.5,522.8,240.5,533.3,280.5,589.8,252.3,567.0,227.5,567.3,202.8,567.3,202.8,590.8,177.8,567.3,151.8,567.0,159.0,609.5,202.5,612.5,236.3,609.0,265.8,603.3,307.5,599.5,268.8,554.5,245.0,593.3,197.5,614.3,158.5,590.5,126.5,596.0,181.0,579.8,181.5,554.5,224.0,554.5,223.5,580.0,129.3,542.5,88.8,575.5,781.0,598.5,726.8,547.8,687.5,541.3,649.3,548.8,604.0,605.3,639.5,585.0,665.5,585.3,688.0,585.5,688.0,607.8,710.8,585.3,740.5,585.0,728.8,630.3,688.0,632.3,651.0,626.8,619.8,618.8,571.0,612.5,618.5,570.3,646.5,611.3,690.0,633.0,732.8,610.5,759.5,618.5,707.8,597.0,707.5,573.5,668.3,573.5,668.8,597.3,758.5,566.5,796.0,602.5
5,2024-08-16 09:05:22.897,2860,OK,106.0,574.8,162.0,528.0,202.0,523.5,240.8,533.5,281.3,591.0,252.5,566.8,227.3,566.8,202.0,566.8,202.0,590.5,176.3,566.8,150.5,566.3,157.8,610.0,201.8,613.0,236.0,610.3,266.3,604.0,307.8,600.5,269.3,555.8,245.3,594.3,196.8,615.0,157.0,590.8,125.5,595.8,180.0,579.5,180.5,554.3,223.8,554.3,223.3,579.5,128.3,543.3,88.3,575.3,782.0,597.8,727.0,547.8,687.8,541.5,649.0,549.0,604.5,606.0,639.3,585.5,665.8,585.5,688.0,585.8,688.0,607.0,710.5,585.5,740.8,585.3,729.5,630.5,688.0,632.5,651.5,627.5,619.8,619.3,571.0,612.8,618.0,570.5,646.0,611.5,690.5,633.5,732.8,610.5,760.3,618.5,707.3,596.8,707.0,574.3,668.5,574.3,669.0,597.0,759.0,566.5,797.0,601.5
6,2024-08-16 09:05:22.925,2861,OK,107.3,575.5,162.0,526.5,202.3,522.0,240.8,532.5,280.5,590.0,252.8,566.8,226.0,567.3,203.0,567.3,203.0,588.8,179.8,567.3,151.8,566.8,158.0,609.8,203.0,612.8,236.5,609.3,266.0,603.3,308.5,600.0,268.8,555.3,245.5,593.3,197.3,614.5,158.3,590.5,126.0,595.8,182.8,578.8,183.0,555.8,222.8,556.0,222.5,579.0,128.8,542.5,89.3,576.8,782.0,598.0,726.0,547.8,686.8,541.8,649.3,549.0,604.5,605.3,640.3,585.8,665.8,586.0,688.5,586.0,688.5,607.8,711.5,586.0,741.0,585.8,728.0,631.5,688.3,632.3,651.0,627.3,620.0,618.8,571.8,612.0,618.3,570.5,647.0,611.3,689.3,633.8,733.3,611.0,759.3,619.8,708.3,597.3,708.0,574.5,668.5,574.5,669.0,597.5,758.0,566.8,796.8,601.8
7,2024-08-16 09:05:22.960,2862,OK,108.3,574.8,163.0,526.8,203.0,522.5,241.3,532.3,282.5,590.5,252.8,567.3,226.5,568.0,203.5,568.0,203.5,590.0,180.3,568.0,152.5,567.5,158.5,610.5,203.5,613.5,236.8,610.3,267.3,603.5,308.8,600.8,270.3,555.0,245.3,594.5,197.8,615.0,159.0,591.5,126.8,596.0,183.3,579.8,183.5,556.3,223.3,556.3,223.0,579.8,129.8,542.5,91.3,574.5,782.8,598.3,728.0,547.8,688.5,541.5,650.5,549.3,604.3,606.3,641.3,586.0,667.0,586.3,689.5,586.3,689.5,608.3,712.5,586.3,742.5,586.0,730.5,630.8,689.5,633.3,652.8,627.8,621.5,619.5,572.3,613.0,619.8,571.0,648.0,612.5,691.5,633.8,734.8,611.3,761.5,618.5,709.3,597.8,709.0,574.8,670.0,574.8,670.3,597.8,760.0,566.3,797.3,601.5
8,2024-08-16 09:05:22.998,2863,OK,107.5,573.8,164.5,528.3,204.3,523.8,243.0,534.5,282.8,591.5,253.5,568.5,228.3,568.8,204.0,568.8,204.0,591.3,179.5,568.8,153.3,568.5,159.8,610.3,204.0,613.3,238.0,610.3,268.0,604.3,309.0,601.5,271.3,556.5,247.0,594.3,198.8,615.0,159.8,591.8,127.5,596.0,182.8,581.0,183.0,557.0,225.0,557.0,224.3,581.0,130.5,542.5,90.8,574.8,782.5,598.8,728.0,548.8,689.0,542.5,650.8,549.5,606.0,605.8,641.3,586.5,666.8,586.8,690.0,587.0,689.8,608.8,713.3,586.8,742.3,586.3,730.3,630.8,690.0,632.8,652.8,627.3,621.5,619.3,573.3,613.0,620.0,571.0,647.8,612.0,691.5,633.8,734.8,611.5,761.0,619.0,710.0,598.3,709.8,575.3,669.8,575.3,670.0,598.5,760.0,567.3,798.0,603.5
9,2024-08-16 09:05:23.024,2864,OK,108.3,573.3,165.5,527.5,205.3,523.5,243.5,533.8,284.0,590.5,254.0,566.0,227.5,566.3,203.3,566.5,203.3,590.0,178.8,566.5,151.8,566.0,161.0,610.8,203.3,613.3,238.8,609.5,269.3,603.0,309.8,600.8,272.5,555.8,247.5,592.8,199.8,615.0,158.8,591.5,128.3,596.0,182.0,579.0,182.5,554.0,224.0,554.3,223.5,579.0,131.0,542.5,90.3,574.5,782.8,597.5,728.0,548.3,688.8,542.0,650.3,549.5,606.5,606.0,641.3,586.0,668.3,586.3,690.0,586.3,690.0,607.3,712.0,586.3,742.8,586.3,730.3,630.8,689.8,633.0,652.5,627.8,621.5,619.5,573.3,614.0,619.8,571.3,648.3,611.8,691.8,634.0,734.8,611.3,761.3,619.0,709.0,597.3,708.8,575.5,671.0,575.5,671.3,597.3,760.0,566.8,797.5,601.5
