,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-08-08 03:36:14.477,1650,OK,178.0,507.5,234.0,465.2,272.0,458.8,310.0,461.2,362.0,499.8,321.8,484.2,294.0,484.5,275.5,484.5,275.5,501.2,256.8,484.5,226.0,485.0,236.8,534.8,275.8,529.0,312.5,524.0,344.8,513.0,401.0,503.8,343.2,474.0,314.2,507.8,274.8,533.2,236.0,509.5,203.0,528.5,259.0,493.2,259.0,476.0,291.8,475.8,291.0,493.2,200.8,482.0,162.5,511.8,871.2,483.5,810.8,444.5,772.2,440.8,735.2,446.5,684.8,490.2,729.0,471.2,753.8,471.5,774.5,471.5,774.5,489.8,795.0,471.5,823.5,471.5,812.0,521.5,774.2,520.2,737.0,514.8,704.8,505.2,651.8,496.5,703.2,462.5,737.5,496.8,774.0,523.0,814.8,497.2,845.2,510.5,792.0,481.0,792.0,461.8,756.5,461.8,757.0,481.2,844.5,458.2,886.5,487.8
1,2024-08-08 03:36:14.514,1651,OK,182.2,508.2,236.8,466.0,275.5,459.5,312.8,463.2,363.2,503.2,324.2,485.8,296.2,485.8,279.2,485.8,279.2,502.0,262.0,485.8,228.8,486.0,238.8,537.0,279.5,532.8,314.2,527.8,346.5,517.0,404.2,506.8,345.2,477.2,316.0,510.8,277.5,535.8,238.5,512.5,205.5,530.0,264.5,494.2,264.2,478.0,294.5,478.0,293.5,494.2,204.2,482.8,167.8,512.2,873.2,486.0,814.2,446.8,775.2,442.8,738.0,448.0,689.0,492.0,731.0,472.8,759.5,473.0,776.8,473.0,776.8,488.0,794.5,472.8,826.0,472.5,815.5,521.2,776.8,520.5,739.5,515.2,707.2,506.0,653.8,497.0,706.0,463.5,738.8,498.5,777.0,522.8,817.8,497.5,848.2,511.2,792.0,481.0,792.0,464.5,762.0,464.8,762.0,481.2,847.8,461.5,887.0,490.8
2,2024-08-08 03:36:14.548,1652,OK,175.8,509.8,231.5,468.0,271.2,461.2,308.5,464.5,359.0,502.0,321.0,487.8,293.8,488.0,274.8,488.0,274.8,505.0,256.0,488.0,225.2,488.2,234.0,535.8,275.0,532.5,310.5,526.5,343.0,516.8,397.8,506.2,341.8,477.2,313.0,511.0,273.2,534.8,234.5,513.0,201.0,529.2,258.5,497.0,258.2,479.2,291.5,479.2,290.5,497.0,199.5,485.8,163.2,513.8,871.2,487.2,813.2,446.8,774.8,442.0,736.5,448.8,686.8,494.5,726.5,477.0,755.2,477.0,773.0,477.0,773.0,492.8,790.5,477.0,822.2,477.0,814.8,521.8,772.8,521.5,738.2,516.0,706.0,507.2,652.2,500.5,704.5,465.2,733.5,501.2,776.8,523.8,815.0,500.5,847.0,511.5,788.0,485.2,788.0,468.5,757.8,468.8,757.8,485.2,846.2,461.8,885.0,491.8
3,2024-08-08 03:36:14.580,1653,OK,173.5,510.0,229.2,467.5,268.2,461.0,307.0,464.0,359.5,503.0,318.0,488.0,290.2,488.2,272.8,488.2,272.8,504.2,254.8,488.2,222.8,488.5,231.8,537.2,272.8,533.0,309.0,527.5,341.8,516.8,394.5,506.2,340.5,477.0,310.8,511.0,270.5,535.5,231.5,513.5,198.0,531.0,257.5,496.8,257.2,480.2,288.2,480.0,287.2,496.5,196.2,485.0,159.2,514.2,868.8,486.5,809.5,448.2,770.5,443.0,732.8,449.2,682.0,494.0,724.2,476.0,755.8,476.0,769.2,476.0,769.2,488.2,783.0,476.0,818.0,476.0,811.2,523.0,769.2,522.5,734.5,517.2,702.5,507.8,650.2,499.2,701.2,466.0,731.8,501.2,772.8,525.0,810.5,501.0,843.5,511.8,781.0,482.5,781.2,469.8,757.8,469.8,757.8,482.5,843.0,463.5,880.8,491.0
4,2024-08-08 03:36:14.609,1654,OK,171.5,511.0,226.8,469.5,265.8,463.8,303.2,467.0,355.2,504.8,315.0,491.2,287.2,491.2,270.5,491.2,270.5,506.2,253.5,491.2,221.2,491.5,229.0,538.2,270.5,534.5,305.2,528.5,337.0,518.0,395.0,508.2,335.8,479.8,308.0,514.8,268.2,536.5,230.5,515.8,195.0,531.8,256.0,499.2,256.2,483.2,285.0,483.2,284.2,499.5,193.5,486.5,157.2,515.2,863.2,487.5,805.5,449.5,767.0,445.8,729.0,451.2,677.5,497.0,722.8,479.2,754.0,479.5,767.5,479.5,767.5,492.2,781.0,479.2,816.0,479.0,807.5,525.2,767.8,524.8,731.2,520.0,698.8,510.0,644.0,502.2,697.5,467.8,730.8,505.0,769.2,527.2,809.0,503.8,839.5,513.2,779.2,486.0,779.2,472.2,756.0,472.5,756.0,486.2,838.5,463.2,874.8,490.2
5,2024-08-08 03:36:14.642,1655,OK,168.0,510.8,224.0,471.5,263.8,465.5,302.2,468.2,353.2,505.5,314.5,490.8,287.8,490.8,268.5,490.8,268.2,507.5,248.8,490.5,216.5,491.0,226.5,538.0,268.5,534.5,304.2,529.5,336.2,518.8,393.2,508.5,335.0,481.2,306.0,514.5,266.0,538.0,226.2,515.0,193.0,531.8,251.5,499.2,251.2,482.2,285.2,482.2,284.2,499.2,191.2,487.8,152.8,515.0,862.5,488.5,804.5,451.0,766.2,446.8,728.0,453.0,679.2,497.2,720.2,480.5,748.0,480.5,766.0,480.8,766.0,496.5,784.2,480.5,814.8,480.2,806.2,524.2,765.8,524.2,730.2,519.5,699.0,510.0,643.5,502.5,697.8,469.5,727.2,504.2,768.5,526.5,807.5,503.5,838.0,513.0,781.5,489.2,781.8,472.0,750.8,472.0,750.8,489.2,837.0,465.0,875.2,492.0
6,2024-08-08 03:36:14.673,1656,OK,167.0,511.5,223.2,470.5,262.2,464.2,301.2,466.8,354.0,506.2,312.8,490.5,286.0,490.8,267.2,490.5,267.2,508.0,248.0,490.5,217.2,491.0,225.5,538.5,267.2,534.8,303.2,529.2,336.2,518.5,391.2,510.0,334.8,479.8,305.2,514.0,264.8,537.5,226.8,516.2,192.2,532.2,250.8,499.5,250.5,481.8,283.5,481.8,282.5,499.8,190.8,487.0,151.8,516.5,860.8,489.2,801.8,450.2,763.2,446.8,726.0,452.8,678.2,497.0,719.5,478.2,750.5,478.2,764.0,478.5,764.0,490.8,778.0,478.2,813.0,478.2,803.8,526.2,763.8,524.8,728.0,520.2,696.5,510.8,643.5,502.2,695.0,469.0,727.0,503.8,765.5,527.8,805.0,502.5,836.8,514.2,776.0,485.0,776.0,471.8,752.5,471.8,752.5,485.0,835.5,464.0,875.2,492.8
7,2024-08-08 03:36:14.705,1657,OK,165.2,511.5,221.0,470.8,259.5,464.0,297.8,466.5,353.0,504.0,309.5,490.0,284.0,490.0,264.2,489.8,264.2,508.0,244.0,490.0,214.2,490.2,223.5,539.2,264.5,535.8,300.0,529.5,333.5,518.0,389.0,508.5,332.0,479.2,302.5,514.0,262.2,538.0,224.2,516.8,190.2,532.5,247.0,499.2,246.8,480.8,281.8,480.8,280.5,499.5,188.2,487.5,150.5,516.8,857.2,488.2,801.0,450.5,762.2,446.0,724.2,452.5,674.8,497.8,715.8,478.0,743.8,478.0,762.2,478.0,762.2,494.8,781.0,478.0,812.0,478.2,803.0,524.5,762.2,524.8,726.8,519.8,695.0,510.8,642.2,502.8,693.2,469.8,723.8,503.2,765.0,527.0,804.0,502.8,835.0,513.5,778.5,486.8,778.2,469.5,746.5,469.5,746.5,487.0,833.8,464.8,871.0,492.2
8,2024-08-08 03:36:14.741,1658,OK,163.5,511.8,220.5,471.0,259.0,465.5,297.0,469.2,348.0,505.5,308.5,490.5,283.0,490.5,262.0,490.5,262.0,508.8,241.0,490.5,212.2,490.5,223.0,540.0,262.2,535.8,299.2,530.8,331.0,519.5,387.0,510.0,329.8,481.5,300.8,514.2,261.5,538.8,221.2,515.0,189.2,533.5,243.8,500.0,243.8,481.2,280.2,481.2,279.8,500.0,187.2,488.0,150.2,516.8,856.0,491.0,799.5,450.5,760.2,445.8,722.2,452.5,673.2,499.5,714.2,479.8,743.5,480.0,761.2,480.0,761.2,496.2,779.2,479.8,808.8,479.5,801.5,526.5,761.2,525.2,724.5,521.0,692.2,512.2,641.0,505.0,690.8,469.8,722.5,504.2,762.8,528.5,800.8,503.8,833.2,514.8,777.0,488.5,776.8,471.2,745.8,471.5,746.0,488.5,832.2,465.2,869.5,493.5
9,2024-08-08 03:36:14.774,1659,OK,162.5,513.2,218.0,471.0,257.5,463.8,295.5,467.0,347.8,505.8,307.0,489.2,279.0,489.2,260.2,489.2,260.2,506.5,241.2,489.2,209.8,490.0,220.8,540.5,260.5,536.5,298.0,530.5,329.5,519.5,386.2,510.0,328.0,480.0,298.8,514.2,260.2,538.8,220.0,516.2,187.0,534.5,243.8,498.2,243.5,481.0,277.0,480.8,276.0,498.2,185.2,489.0,148.2,519.0,856.5,491.2,798.5,451.2,759.2,446.2,721.8,452.8,671.8,498.8,712.5,480.0,736.8,480.2,758.8,480.2,758.8,500.0,780.5,480.0,806.8,480.0,800.2,526.5,758.5,525.8,723.5,521.0,691.8,512.2,635.2,504.2,690.5,469.5,720.8,505.0,761.5,527.5,798.8,503.8,831.8,516.0,777.5,490.2,777.8,469.8,739.8,469.8,740.0,490.5,831.0,466.8,869.5,495.0
