,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-09-06 11:24:47.660,1526,OK,157.0,943.5,215.3,892.5,256.0,886.8,295.8,894.5,344.3,945.8,305.8,923.3,279.0,923.5,258.5,923.3,258.5,944.8,237.5,923.3,206.5,923.0,214.5,979.5,258.5,970.3,295.0,970.0,327.3,958.3,385.0,951.8,327.8,913.5,298.0,947.3,255.0,979.0,214.8,948.3,180.0,967.5,240.8,934.5,240.5,912.0,276.8,912.0,275.5,934.5,180.3,910.8,142.0,946.8,902.0,914.0,842.0,866.5,801.3,864.0,762.0,874.8,716.8,928.3,755.0,901.5,780.5,901.5,803.8,901.5,803.8,925.0,827.0,901.5,854.8,901.5,845.5,950.8,803.8,948.8,765.5,947.8,733.8,940.0,673.3,938.3,731.5,896.3,764.0,928.3,805.5,953.8,846.5,926.3,878.5,937.5,823.5,913.8,824.0,889.3,783.5,889.3,784.8,913.8,876.3,882.8,916.5,916.5
1,2024-09-06 11:24:47.693,1527,OK,155.5,944.0,214.3,892.3,254.5,887.0,294.3,894.8,343.5,945.0,303.3,923.3,277.0,923.5,256.3,923.5,256.3,944.8,235.3,923.3,205.0,923.3,214.3,980.0,256.3,969.8,294.0,969.5,326.3,957.5,385.3,951.8,326.3,913.3,295.3,947.3,254.3,978.8,213.3,948.0,178.8,968.3,238.3,934.8,238.3,911.8,274.8,912.0,273.5,934.5,179.0,910.5,139.8,947.3,899.0,912.0,838.5,865.0,798.8,862.5,759.3,873.5,713.3,927.3,752.3,900.0,776.8,900.0,801.0,900.0,801.0,924.5,825.0,900.3,852.0,900.3,842.3,950.5,801.0,948.0,762.8,947.5,731.0,939.5,670.0,937.3,728.5,895.0,761.0,926.8,803.0,953.5,844.0,925.0,875.8,937.0,821.3,912.8,822.0,887.5,779.8,887.5,781.0,912.8,873.3,881.0,914.0,914.5
2,2024-09-06 11:24:47.736,1528,OK,154.3,942.0,213.5,891.5,253.3,886.3,292.0,893.8,341.3,943.5,302.3,922.0,276.5,922.3,255.5,922.3,255.5,944.3,233.8,922.0,204.0,922.0,213.3,978.8,255.5,969.0,291.8,968.8,323.8,957.0,383.5,950.3,324.0,912.3,294.3,945.8,253.0,977.8,212.3,947.0,178.3,967.5,237.0,933.8,236.8,910.3,274.0,910.3,272.8,933.5,178.8,909.3,139.3,945.0,897.3,910.8,837.5,864.3,797.8,861.8,758.0,871.8,713.0,925.8,750.8,898.8,775.3,898.5,799.3,898.5,799.3,922.8,823.5,898.5,850.3,898.8,841.3,949.3,799.3,947.3,761.8,946.0,729.8,938.0,669.0,936.0,727.5,893.0,759.5,925.5,801.8,952.0,842.0,923.3,874.3,935.3,819.8,911.3,820.3,886.0,778.3,886.0,779.5,911.3,872.0,880.3,913.0,913.5
3,2024-09-06 11:24:47.760,1529,OK,153.8,942.3,213.0,891.0,253.8,885.5,293.0,894.0,341.5,944.3,302.0,921.8,276.8,922.0,255.0,922.0,255.0,944.8,232.8,922.0,204.0,921.8,212.8,978.3,255.0,968.8,292.5,968.5,324.0,957.0,383.5,950.5,324.3,912.8,294.0,946.3,253.0,977.3,212.3,947.3,177.8,966.5,236.3,933.8,235.8,910.0,274.3,910.0,273.0,933.8,178.3,909.5,138.5,944.8,896.0,910.8,836.3,863.8,796.5,861.3,756.8,871.8,711.5,926.0,749.5,899.0,774.0,899.0,798.0,899.0,798.0,923.3,822.3,899.0,849.0,899.0,839.8,949.0,798.0,946.5,760.5,946.0,728.8,938.0,668.0,935.8,726.5,893.3,758.3,925.3,800.5,952.0,840.8,923.5,872.8,935.3,818.5,911.5,819.0,886.3,777.0,886.5,778.3,911.5,870.5,880.0,911.5,913.8
4,2024-09-06 11:24:47.796,1530,OK,155.8,941.8,214.0,890.8,254.0,885.0,293.3,893.3,341.5,944.0,302.8,921.5,276.8,921.8,256.0,921.8,256.0,943.8,234.8,921.5,204.5,921.5,213.5,978.0,256.0,968.3,292.8,968.3,324.0,957.0,383.8,950.3,324.3,912.3,295.0,946.0,253.3,977.0,213.0,946.8,178.8,966.5,238.0,933.3,237.8,909.8,274.5,910.0,273.3,933.0,179.5,908.8,140.3,944.3,895.5,910.3,835.3,863.5,795.8,861.3,756.8,871.5,712.0,925.5,749.3,898.3,773.8,898.3,797.3,898.3,797.3,922.5,821.3,898.3,848.5,898.5,839.0,948.8,797.3,946.8,760.5,945.8,729.0,938.0,668.5,936.3,726.3,893.0,758.0,924.8,800.0,951.5,840.3,923.3,872.0,935.3,817.5,911.0,818.0,885.5,776.8,885.5,778.0,911.0,869.5,879.8,911.0,913.5
5,2024-09-06 11:24:47.829,1531,OK,156.3,943.8,215.8,893.0,256.0,887.3,295.8,895.0,344.3,945.8,304.5,923.5,278.5,923.5,257.5,923.5,257.5,945.3,236.0,923.5,206.8,923.5,215.5,979.3,257.5,969.8,295.5,969.5,326.8,958.0,385.5,952.0,327.3,913.5,296.8,947.5,255.5,978.3,214.5,948.5,180.8,967.5,239.0,935.0,238.8,912.0,276.3,912.3,275.0,935.0,181.0,911.5,140.8,947.0,895.5,912.3,836.3,865.8,796.5,863.3,757.3,873.8,711.8,927.3,749.5,899.8,774.5,899.8,797.5,899.8,797.5,924.0,821.0,899.8,849.0,900.0,840.0,950.0,797.5,948.5,761.0,947.3,729.3,939.5,669.8,937.5,726.8,895.0,758.3,927.0,800.8,953.3,840.8,925.0,872.3,936.5,817.3,912.5,817.8,887.3,777.3,887.3,778.5,912.3,869.8,882.3,910.8,915.5
6,2024-09-06 11:24:47.859,1532,OK,160.8,945.3,218.3,894.3,258.3,888.5,297.5,896.3,346.0,946.8,307.0,925.3,281.5,925.5,260.3,925.5,260.3,947.0,238.8,925.3,209.3,925.3,218.0,981.0,260.5,971.5,297.0,971.5,328.5,959.8,387.0,953.0,329.0,914.8,299.5,949.0,257.5,980.0,217.3,950.3,183.8,969.3,241.8,936.8,241.5,914.0,279.0,914.0,278.0,936.8,184.0,912.5,145.3,948.3,896.5,915.3,837.3,868.5,797.5,865.8,759.0,876.5,712.0,930.0,751.5,903.0,775.8,903.0,799.5,903.0,799.5,927.3,823.5,903.0,850.3,903.0,840.8,953.3,799.5,950.8,762.5,950.3,730.8,942.0,671.0,939.5,728.3,897.3,760.3,929.3,801.8,956.3,842.3,927.5,873.5,939.5,820.0,915.8,820.5,890.3,778.5,890.3,779.8,915.5,871.3,885.0,911.8,918.3
7,2024-09-06 11:24:47.891,1533,OK,163.5,947.3,221.8,896.3,262.3,891.0,301.8,899.0,351.0,949.5,310.8,927.3,285.0,927.5,263.5,927.5,263.8,949.8,241.8,927.5,212.5,927.3,221.3,982.8,263.8,973.8,301.0,973.8,333.0,962.0,390.8,955.8,333.0,917.8,302.8,952.3,261.5,982.5,220.8,952.8,186.8,970.8,245.0,939.3,244.8,915.5,282.5,915.8,281.5,939.0,187.3,914.0,147.8,949.8,899.3,917.5,839.0,871.3,799.8,868.8,761.0,879.3,716.0,932.5,754.0,906.0,778.5,906.3,802.0,906.3,802.0,930.5,825.8,906.3,852.8,906.3,842.5,957.3,802.0,954.8,764.8,953.8,733.3,945.3,673.5,942.8,730.8,901.0,762.3,932.8,804.0,960.0,844.5,931.5,875.8,943.0,822.0,919.0,822.5,893.5,781.5,893.5,782.8,919.0,873.3,887.3,914.3,920.3
8,2024-09-06 11:24:47.932,1534,OK,166.5,949.8,226.0,899.5,265.8,894.3,305.0,902.0,353.8,952.5,313.8,931.0,288.8,931.3,267.3,931.0,267.0,953.5,245.0,931.0,216.8,930.8,225.5,986.3,267.0,977.3,304.3,976.8,336.3,965.3,394.3,959.3,336.5,920.5,305.8,955.8,265.0,985.5,224.8,955.8,190.8,974.5,248.3,942.8,248.3,919.3,286.3,919.5,285.0,942.8,191.3,917.3,151.8,952.5,901.5,922.3,841.8,875.3,802.5,872.8,764.3,883.0,718.8,936.8,756.3,910.0,781.3,910.0,804.5,910.0,804.5,934.0,828.0,910.0,855.8,910.0,845.5,959.8,804.5,958.0,767.8,957.0,735.8,949.0,676.0,946.5,733.5,904.3,764.8,936.3,806.5,962.8,847.8,934.8,878.3,946.3,824.5,922.5,825.0,897.3,784.0,897.3,785.5,922.5,876.0,891.8,916.5,925.0
9,2024-09-06 11:24:47.960,1535,OK,170.8,953.3,228.8,902.8,268.3,897.3,307.3,905.0,355.5,956.5,317.0,934.8,291.0,934.8,270.3,934.8,270.3,956.0,249.0,934.8,219.5,934.5,228.3,989.8,270.3,980.5,306.3,980.5,337.8,969.5,395.0,962.0,338.3,924.0,309.3,958.3,267.5,989.0,227.5,959.0,193.8,978.0,252.0,946.0,252.0,923.5,288.5,923.8,287.3,946.0,194.3,920.8,155.5,955.5,903.8,925.5,844.0,879.0,804.5,876.3,765.8,887.0,720.5,940.0,759.0,913.5,783.5,913.5,806.5,913.5,806.5,937.3,829.5,913.5,857.3,913.3,847.5,964.5,806.5,961.8,769.3,960.5,738.5,952.0,678.3,950.0,736.3,908.0,767.5,940.3,808.5,967.0,849.3,938.3,880.0,950.8,826.0,925.8,826.5,901.0,786.5,901.3,787.5,925.8,878.0,895.3,918.8,928.5
