,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-11-05 13:26:05.546,1854,OK,203.5,927.8,261.0,882.0,300.8,878.3,340.5,886.5,389.8,940.5,344.3,918.3,325.5,918.5,297.5,918.8,297.5,947.0,268.8,918.5,243.8,918.5,257.8,973.5,297.5,971.0,337.3,970.0,370.5,960.3,422.5,948.3,372.5,907.5,336.5,946.8,297.3,977.3,252.3,947.3,225.5,957.3,273.0,933.5,272.5,903.5,321.8,903.5,321.3,933.8,227.3,898.3,186.3,930.5,902.0,905.5,835.3,863.5,794.3,859.5,754.8,868.3,711.0,925.8,744.5,903.0,766.3,903.3,795.0,903.3,795.0,932.8,824.8,903.3,849.5,903.0,839.8,958.0,795.0,956.8,759.5,953.8,727.0,943.3,677.8,933.8,723.8,890.3,752.8,933.0,799.5,962.0,841.0,930.3,875.5,941.3,820.8,919.0,820.8,887.5,770.0,887.8,770.0,919.3,872.8,877.3,920.0,908.3
1,2024-11-05 13:26:05.573,1855,OK,208.3,928.8,266.5,883.3,305.5,879.5,345.0,887.5,394.5,942.0,348.8,919.8,330.5,920.3,302.3,920.3,302.3,949.0,273.5,920.3,248.3,920.3,263.3,974.3,302.5,972.5,342.0,970.8,375.0,961.0,428.0,949.5,377.0,907.8,341.5,948.3,302.0,977.8,257.0,948.8,230.8,958.3,277.8,935.0,277.3,905.0,326.5,904.8,326.3,935.3,232.5,899.5,190.8,931.3,907.5,908.5,839.8,865.8,797.5,861.8,758.3,870.5,715.0,927.8,749.0,905.3,771.0,905.8,799.0,905.8,799.0,934.8,828.0,905.5,853.3,905.3,844.0,960.8,798.8,958.5,762.8,956.3,730.5,945.0,681.8,936.0,727.5,892.8,758.0,935.0,802.8,964.5,844.5,932.5,880.0,944.3,824.3,921.0,824.3,889.8,774.3,890.0,774.5,921.3,877.3,880.3,924.0,909.8
2,2024-11-05 13:26:05.614,1856,OK,212.0,930.3,270.8,884.8,310.0,881.0,348.8,889.3,399.3,943.8,352.3,921.3,333.8,921.5,305.5,921.5,305.5,950.0,277.0,921.5,252.0,921.5,267.3,975.8,305.8,973.5,345.5,972.3,379.0,962.3,431.5,951.5,381.0,910.3,345.0,949.5,306.3,979.3,261.0,950.3,235.0,959.5,281.3,936.3,281.0,906.5,329.8,906.5,329.8,936.5,236.8,901.0,195.0,932.5,908.8,909.8,841.3,867.5,800.5,863.5,761.8,872.5,718.3,929.0,752.3,906.8,773.8,907.0,802.0,907.0,802.0,936.3,831.3,907.0,856.5,906.8,845.8,962.0,802.0,959.5,766.3,956.3,734.0,946.0,684.5,938.0,730.8,894.5,760.8,936.3,805.8,965.0,848.0,933.8,882.3,945.3,827.3,922.5,827.5,891.5,777.3,891.5,777.8,922.8,879.5,881.0,926.5,911.5
3,2024-11-05 13:26:05.639,1857,OK,214.0,930.5,272.0,885.8,311.3,881.8,350.8,890.0,400.5,944.3,354.5,922.5,336.0,922.8,307.5,922.8,307.5,951.0,278.5,922.5,253.8,922.8,268.5,977.5,307.5,974.5,347.5,973.5,380.8,963.8,433.0,952.0,382.8,910.8,347.3,950.8,307.8,981.0,262.5,951.3,236.3,961.3,283.0,937.5,282.3,907.5,332.0,907.5,331.5,937.8,238.3,900.8,196.5,933.0,912.0,912.0,844.0,868.8,803.0,864.8,764.0,872.8,719.3,930.3,753.5,908.5,775.3,908.8,803.5,908.8,803.5,937.5,832.5,908.8,858.0,908.5,848.3,963.3,803.3,961.0,768.3,958.5,735.8,947.8,686.5,938.8,732.8,894.5,762.3,937.8,807.8,966.8,849.5,935.5,884.5,946.8,828.3,923.8,828.5,893.3,778.5,893.5,778.8,924.0,882.0,883.3,929.0,913.8
4,2024-11-05 13:26:05.682,1858,OK,217.3,933.0,275.8,887.0,314.0,883.3,353.0,891.3,403.3,945.5,356.8,924.0,338.8,924.0,310.3,924.0,310.3,952.8,281.5,924.0,256.8,924.3,272.5,979.5,310.3,976.5,349.8,975.0,382.8,965.0,434.5,953.5,384.8,911.8,349.3,952.0,310.8,982.3,265.5,952.8,240.0,963.3,285.8,939.0,285.3,908.8,335.0,908.8,334.3,939.3,241.8,903.3,199.8,935.8,913.5,911.3,847.0,870.0,805.5,865.8,766.3,873.8,722.5,931.0,755.3,909.0,776.5,909.3,805.3,909.5,805.3,938.5,834.3,909.3,859.3,909.0,852.0,963.3,805.3,961.8,771.0,959.8,738.5,948.8,691.5,938.8,735.0,895.5,763.8,938.5,811.3,967.8,851.3,935.8,886.5,946.8,830.3,924.8,830.3,893.5,780.3,893.8,780.5,925.0,883.5,884.5,930.0,913.0
5,2024-11-05 13:26:05.708,1859,OK,218.5,934.3,275.8,888.8,315.3,884.8,355.0,893.0,404.3,947.5,358.5,925.3,340.0,925.5,311.8,925.5,311.8,954.0,282.5,925.5,257.8,925.8,272.5,980.0,311.8,977.8,351.5,976.3,384.5,966.0,437.3,955.0,386.5,913.8,351.0,953.8,311.5,983.5,266.8,954.3,240.5,963.5,287.0,940.3,286.5,910.5,336.3,910.5,335.8,940.5,242.3,904.8,201.5,937.0,915.0,912.3,847.3,871.0,806.0,867.0,767.0,875.8,722.8,932.8,756.3,910.3,778.0,910.5,806.3,910.5,806.3,939.3,835.5,910.5,860.3,910.3,852.3,964.5,806.3,963.5,771.8,961.5,739.5,950.5,689.5,941.0,736.3,897.8,765.5,940.3,811.8,969.3,852.3,936.8,888.0,947.5,831.5,925.5,831.8,895.3,781.5,895.5,781.8,925.8,885.0,885.3,931.8,914.3
6,2024-11-05 13:26:05.738,1860,OK,221.5,936.5,279.0,889.8,318.0,886.3,356.5,894.0,406.3,948.3,360.3,926.5,342.3,926.5,313.8,926.5,313.8,955.5,285.0,926.5,260.8,926.8,276.3,981.5,313.8,978.8,353.5,977.5,386.5,967.3,438.5,955.5,388.3,914.0,352.5,955.0,314.8,984.5,269.5,955.3,244.3,966.0,289.3,941.5,288.5,911.5,338.5,911.5,338.0,941.8,245.8,906.3,204.0,938.5,916.8,912.3,849.8,871.3,808.5,867.0,768.8,876.3,725.3,934.0,758.5,911.0,779.8,911.3,808.0,911.3,808.0,940.3,837.3,911.3,862.3,911.0,854.5,965.0,808.3,964.3,773.8,961.8,741.3,951.0,691.5,942.5,737.8,898.3,767.3,940.8,814.5,970.0,854.0,938.0,889.5,948.5,833.0,926.5,833.5,895.5,783.5,895.8,783.5,926.8,886.5,885.5,932.3,914.0
7,2024-11-05 13:26:05.785,1861,OK,223.5,936.0,281.3,891.0,319.5,887.0,358.5,895.0,408.0,948.8,362.8,927.5,344.5,927.8,316.3,927.8,316.3,956.3,287.8,927.8,263.0,927.8,278.0,982.3,316.3,979.8,355.5,978.8,388.5,968.5,441.3,956.5,390.3,915.0,355.0,955.8,316.3,985.8,271.8,956.3,245.8,965.8,292.0,942.8,291.5,912.5,340.5,912.5,340.0,942.8,247.3,906.8,206.0,938.5,919.0,914.0,850.5,871.8,809.5,867.8,770.8,877.0,727.3,934.3,761.0,911.5,781.8,912.0,810.0,912.0,810.0,941.3,839.3,912.0,864.3,911.5,855.3,967.3,810.0,965.3,775.5,962.8,743.3,951.5,694.5,943.0,740.3,899.5,769.5,941.8,815.0,971.0,856.3,938.5,890.5,951.3,835.3,927.5,835.5,896.0,785.3,896.3,785.5,927.8,887.8,885.5,934.3,915.5
8,2024-11-05 13:26:05.812,1862,OK,226.0,936.3,283.0,890.8,321.8,887.0,360.8,895.3,409.3,949.0,364.0,927.3,346.5,927.5,318.3,927.5,318.3,956.0,289.5,927.5,265.3,927.5,279.5,981.5,318.3,979.5,357.3,978.3,390.5,968.8,443.5,956.8,392.8,915.5,357.0,956.0,318.0,985.0,273.5,956.3,247.3,965.3,293.8,942.5,293.3,912.3,342.5,912.3,342.0,942.5,249.3,906.5,209.5,938.3,920.3,915.5,852.5,872.3,812.0,867.8,772.3,876.5,730.0,934.8,762.8,911.8,785.0,912.3,812.8,912.3,812.8,940.8,841.0,912.3,866.5,911.8,857.3,966.8,812.5,965.3,777.0,961.5,745.5,951.0,696.8,942.5,742.3,899.0,771.3,941.5,817.3,970.3,858.5,939.0,893.0,950.8,837.3,927.3,837.3,896.8,788.5,897.0,788.8,927.5,890.3,886.3,937.0,916.3
9,2024-11-05 13:26:05.845,1863,OK,227.3,935.8,284.8,890.5,323.8,886.8,362.8,895.0,411.0,948.8,365.8,927.3,347.8,927.5,319.5,927.5,319.5,956.0,290.8,927.5,266.5,927.5,281.5,982.3,319.5,979.8,359.5,978.3,392.3,968.0,445.0,956.0,394.3,915.3,358.3,955.8,320.3,985.8,275.0,955.8,249.3,966.0,295.3,942.5,294.5,912.5,343.8,912.5,343.5,942.5,251.0,906.5,210.5,938.0,922.0,915.3,855.0,872.3,813.5,867.3,774.0,876.5,731.0,934.3,763.8,911.3,785.5,911.8,813.8,911.8,813.8,941.0,842.5,911.8,867.5,911.5,859.3,966.3,813.8,964.8,778.8,961.5,747.0,951.3,701.0,942.3,743.8,898.8,772.3,941.3,818.8,969.8,859.3,938.8,894.5,950.3,838.5,927.3,838.5,896.0,789.3,896.3,789.3,927.5,892.0,886.8,939.0,916.3
