,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-11-05 13:19:42.489,1613,OK,223.8,880.0,282.0,840.3,319.5,839.3,356.8,849.3,405.0,904.0,355.0,868.3,338.5,868.3,311.5,868.3,311.5,897.0,284.0,868.3,262.8,868.3,275.8,919.8,311.5,916.3,350.8,924.3,384.0,917.3,438.3,916.0,387.8,870.0,347.5,895.8,312.8,925.8,269.5,893.3,245.5,903.3,288.3,883.0,287.5,853.8,335.0,854.0,334.5,883.0,249.3,852.5,207.5,882.3,891.5,921.8,830.5,875.0,789.8,870.3,754.8,877.3,709.5,925.8,741.0,898.3,759.5,898.5,787.0,898.5,787.0,927.5,815.0,898.5,835.3,898.3,831.3,952.8,787.0,945.8,755.5,945.3,724.5,937.5,681.0,933.0,723.8,895.5,749.0,924.8,790.8,952.5,827.3,924.0,865.5,945.0,811.3,913.3,811.8,883.5,762.8,883.8,763.5,913.3,865.0,891.0,906.3,923.0
1,2024-11-05 13:19:42.514,1614,OK,224.0,882.3,282.0,842.5,320.0,841.5,357.5,851.0,405.5,907.0,355.5,870.5,338.5,870.5,311.8,870.5,311.8,899.3,284.3,870.5,262.8,870.5,275.5,921.8,311.8,918.5,351.0,926.8,384.5,920.3,438.5,918.3,388.8,872.5,347.5,898.0,313.0,928.3,269.8,895.3,245.3,906.3,288.3,885.0,288.0,856.3,335.0,856.3,334.3,885.0,249.0,855.3,207.5,884.3,892.3,922.0,831.0,876.5,790.5,871.8,755.0,878.8,710.5,928.0,742.0,900.0,760.5,900.0,788.0,900.0,788.0,929.0,816.0,900.0,836.5,900.0,832.0,955.0,787.8,948.0,756.0,947.8,725.0,939.8,681.8,934.8,724.3,897.3,750.0,926.8,791.8,955.0,828.3,925.8,865.5,947.0,812.0,915.0,812.8,885.3,763.8,885.3,764.5,915.0,865.0,892.0,905.5,923.0
2,2024-11-05 13:19:42.552,1615,OK,224.0,885.3,281.5,845.5,319.3,844.0,356.5,853.3,407.0,909.3,355.0,872.8,338.5,873.0,311.8,873.0,311.5,901.8,284.5,873.0,263.0,873.0,275.8,925.3,311.5,921.3,350.8,929.8,384.5,922.5,441.5,921.5,388.5,874.5,347.8,900.8,312.8,931.5,269.8,898.0,245.3,909.0,288.5,887.5,288.0,858.5,335.0,858.8,334.3,887.8,249.0,858.5,208.8,886.5,892.8,925.5,832.3,878.8,792.0,874.0,756.5,881.0,710.8,929.8,743.0,902.5,761.5,902.8,789.3,902.8,789.3,931.5,817.3,902.8,837.8,902.8,832.8,958.0,789.0,950.0,757.3,950.3,725.8,942.3,683.0,937.0,725.3,899.5,751.0,929.0,792.8,957.5,829.8,928.0,866.8,950.0,813.3,917.5,814.0,888.0,764.8,888.0,765.8,917.5,866.5,894.5,906.3,925.8
3,2024-11-05 13:19:42.585,1616,OK,222.5,888.3,282.3,847.8,320.0,846.8,357.8,856.3,406.3,912.8,355.0,875.8,338.0,875.8,311.0,875.8,311.0,904.8,283.5,875.8,262.0,875.8,276.0,928.5,311.0,924.3,351.3,933.0,385.0,926.3,442.0,925.8,389.3,878.0,347.3,903.8,313.0,934.8,268.8,900.8,244.5,912.3,287.5,890.5,287.0,861.5,334.8,861.5,334.0,890.5,248.5,860.0,207.3,889.5,894.0,923.3,833.3,880.5,792.5,876.5,756.5,883.5,711.0,932.5,743.5,904.3,762.8,904.3,789.8,904.3,789.8,932.5,817.3,904.3,838.8,904.3,835.0,959.8,789.8,953.0,758.8,953.3,726.5,944.8,682.8,940.0,725.0,902.0,751.8,931.8,794.8,960.3,831.0,930.0,868.8,950.3,813.5,918.8,814.0,889.8,766.0,890.0,767.0,918.8,867.8,895.8,907.3,924.5
4,2024-11-05 13:19:42.620,1617,OK,222.5,890.3,281.5,850.5,319.3,849.5,357.0,859.5,406.5,914.8,354.5,878.0,338.0,878.3,310.8,878.3,310.8,907.3,283.0,878.3,261.5,878.3,275.3,932.0,310.8,927.3,351.0,935.8,384.3,928.8,440.5,926.8,388.8,880.8,347.0,906.5,312.3,938.3,268.5,903.8,244.0,915.5,287.0,893.0,286.8,863.8,334.5,863.8,333.8,893.0,247.8,863.3,207.0,892.0,896.3,927.3,833.3,882.3,792.5,878.5,756.8,885.5,711.3,934.5,743.8,906.3,763.0,906.5,790.3,906.3,790.3,934.5,818.3,906.5,839.5,906.3,834.8,962.0,790.3,954.5,758.5,955.0,726.8,946.8,683.3,942.0,725.5,904.0,752.3,933.3,794.3,962.0,831.5,932.3,869.5,953.3,814.5,921.0,814.8,892.0,766.3,892.0,767.3,921.0,868.5,897.5,911.3,928.5
5,2024-11-05 13:19:42.648,1618,OK,219.5,892.0,280.3,853.0,318.0,851.5,356.0,861.3,405.0,917.8,353.0,880.8,336.5,880.8,309.3,880.8,309.3,909.5,281.5,880.8,260.0,880.8,273.8,933.8,309.3,930.0,349.5,938.5,383.3,931.8,442.0,931.0,387.8,882.5,345.3,909.0,310.8,940.3,267.0,906.3,241.8,917.0,285.8,895.3,285.3,866.3,333.0,866.5,332.3,895.3,245.8,865.3,204.8,894.0,895.5,927.0,832.8,883.8,792.5,880.0,757.0,887.0,712.3,936.8,744.3,907.8,763.3,907.8,791.3,907.8,791.3,936.8,819.3,907.8,840.0,908.0,834.8,963.8,791.0,956.5,759.0,956.8,727.3,948.5,683.3,944.8,725.8,905.8,752.5,935.0,794.8,964.0,832.0,933.8,868.8,954.3,815.8,922.8,816.0,893.3,766.5,893.5,767.5,922.8,867.8,898.0,909.3,927.8
6,2024-11-05 13:19:42.682,1619,OK,218.5,892.5,278.3,852.3,316.3,851.5,354.3,861.3,401.5,917.5,351.0,880.5,334.3,880.8,306.8,880.8,306.8,910.0,278.8,880.8,257.8,880.5,272.3,934.8,306.8,929.8,348.0,938.8,381.5,931.8,437.8,930.0,386.0,882.5,343.5,909.0,309.3,941.0,264.5,905.8,239.8,918.3,283.0,895.8,282.8,865.8,331.0,866.0,330.0,895.8,243.8,864.8,202.5,894.3,892.8,928.0,831.5,883.8,791.3,880.0,755.3,887.3,710.3,937.3,742.3,908.5,761.3,908.5,789.3,908.5,789.3,937.3,817.3,908.5,838.5,908.5,833.3,963.5,789.0,956.3,757.3,956.3,725.5,948.5,682.3,944.3,724.3,906.3,750.5,935.0,793.3,963.3,830.3,934.3,867.3,954.3,813.3,923.5,814.0,893.8,764.5,894.0,765.5,923.5,866.3,898.3,905.0,928.5
7,2024-11-05 13:19:42.713,1620,OK,214.5,893.3,274.5,851.8,312.8,850.8,350.8,860.8,400.5,918.0,347.3,880.8,331.0,880.8,303.5,880.8,303.5,909.8,275.5,880.8,253.8,880.8,268.5,934.8,303.5,930.0,344.5,939.5,378.5,932.3,436.3,932.0,382.8,882.3,339.5,909.3,305.8,941.0,261.0,906.5,236.3,918.0,279.5,895.3,279.3,866.3,327.5,866.5,326.8,895.3,240.3,864.0,198.8,894.5,890.0,926.0,829.0,883.0,788.3,879.3,752.8,886.8,708.0,937.0,740.3,907.8,759.5,907.8,787.5,907.8,787.8,937.3,816.3,907.8,837.0,907.5,831.3,963.0,787.5,956.0,755.0,956.3,723.8,948.0,679.5,944.3,722.3,905.8,748.8,935.0,790.8,963.0,829.0,933.5,864.8,953.5,812.3,923.0,812.8,892.8,762.8,893.0,763.5,923.0,863.5,897.0,903.0,926.0
8,2024-11-05 13:19:42.743,1621,OK,212.0,892.5,271.3,852.3,309.0,851.0,347.5,860.5,397.3,917.3,344.3,880.5,328.0,880.8,300.5,880.5,300.5,909.8,273.0,880.5,251.3,880.5,265.3,934.5,300.5,929.5,341.0,938.8,375.0,931.5,431.5,930.0,379.3,882.0,336.5,909.0,302.0,940.5,258.3,906.3,233.5,918.0,277.0,895.5,276.5,866.0,324.5,866.0,323.8,895.5,237.3,865.0,196.3,894.0,890.8,928.3,828.5,883.3,787.3,879.3,751.0,886.8,705.5,936.3,738.0,907.3,756.8,907.3,785.0,907.3,785.0,936.8,813.8,907.3,834.3,907.3,830.3,963.0,784.8,955.3,752.8,955.8,720.8,947.3,677.8,943.8,719.5,905.5,746.5,934.8,789.5,962.8,826.3,933.3,864.5,954.3,809.8,922.5,810.3,892.0,760.0,892.3,761.0,922.5,863.3,898.3,904.3,928.3
9,2024-11-05 13:19:42.776,1622,OK,208.8,894.0,269.0,851.0,307.8,850.0,346.8,860.8,397.5,919.5,342.0,881.3,325.0,881.3,297.8,881.3,297.8,909.5,270.0,881.3,248.3,881.3,262.3,934.8,297.5,929.3,340.0,939.0,374.5,932.5,434.5,933.3,379.0,883.0,333.5,909.5,300.5,940.8,255.0,905.8,230.5,918.3,274.0,895.5,273.5,866.8,321.5,867.0,320.5,895.8,234.5,864.5,192.8,895.5,889.0,926.8,826.3,882.8,785.8,878.8,749.5,886.0,704.5,935.5,736.0,907.5,755.0,907.8,783.3,907.5,783.3,936.5,812.0,907.5,832.5,907.5,828.3,962.8,783.3,955.5,751.8,956.0,719.5,947.5,675.5,943.5,718.0,904.3,744.5,934.8,788.0,963.0,824.5,933.3,862.8,953.8,808.0,922.5,808.3,892.5,758.3,892.8,759.5,922.5,861.5,897.5,903.5,927.8
