,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-08-13 13:17:13.258,2057,OK,159.8,882.3,217.0,826.3,259.0,820.0,300.5,829.0,353.5,890.3,312.3,870.3,289.3,870.3,259.8,870.5,260.0,900.0,230.0,870.5,203.8,870.8,215.3,918.8,260.3,921.0,298.5,915.8,331.8,906.8,390.5,900.0,333.3,851.8,304.8,897.5,256.8,922.3,211.5,897.3,181.3,905.3,234.0,885.8,233.8,855.0,285.8,854.8,285.3,885.5,182.0,845.0,144.0,883.0,876.0,856.8,814.3,803.0,772.3,796.5,729.5,806.0,676.3,869.5,719.5,845.0,743.8,845.3,773.8,845.5,773.8,875.0,803.8,845.3,831.5,844.3,817.3,895.5,774.0,897.5,732.5,893.0,697.3,883.0,639.8,880.0,695.3,829.8,727.8,874.5,775.5,899.0,823.3,872.0,851.5,881.0,799.8,860.5,799.5,829.5,748.0,829.5,748.5,860.5,849.5,821.5,881.0,856.8
1,2024-08-13 13:17:13.290,2058,OK,163.5,886.8,221.8,829.0,264.0,822.5,305.0,831.5,358.3,893.0,316.8,873.3,294.3,873.3,264.3,873.3,264.3,903.5,234.0,873.3,207.8,873.0,220.5,922.0,264.5,923.5,303.5,917.8,336.3,908.8,394.5,902.3,337.3,854.3,309.5,900.0,262.3,925.0,215.8,899.5,186.0,908.8,238.3,888.8,237.8,858.0,290.3,857.8,290.0,888.8,186.8,848.0,148.5,886.8,883.3,858.3,820.3,804.0,777.5,797.8,734.0,807.3,681.8,871.0,723.5,847.0,748.0,847.5,778.3,847.5,778.3,877.0,809.0,847.3,835.3,846.3,823.3,896.5,778.5,898.8,737.0,894.8,702.0,885.5,647.0,881.5,700.0,831.5,731.8,875.5,781.0,900.8,828.3,873.0,857.8,882.0,805.0,862.8,804.8,831.3,751.8,831.5,752.5,862.8,855.8,822.8,888.8,858.8
2,2024-08-13 13:17:13.325,2059,OK,167.3,889.8,224.5,832.3,265.8,824.8,307.0,834.5,361.3,895.5,319.5,875.8,296.8,876.0,267.0,876.0,267.3,906.0,237.3,876.3,210.8,876.3,223.3,925.3,267.3,926.5,305.8,920.8,337.8,911.8,397.5,904.8,338.8,857.0,312.5,902.5,264.3,928.5,218.5,903.0,189.5,912.0,241.3,891.5,241.0,860.8,293.0,860.5,292.5,891.5,190.0,851.8,151.5,890.8,885.8,862.5,821.3,809.3,779.0,802.5,737.0,811.0,686.3,874.8,726.5,850.3,751.3,850.5,781.5,850.5,781.5,880.3,811.5,850.5,838.0,849.8,824.0,900.5,781.5,903.3,740.0,898.5,704.8,889.0,650.0,886.3,702.8,835.0,734.3,880.0,782.5,904.3,830.5,877.8,858.5,887.3,807.5,866.0,807.3,834.8,755.3,834.8,756.0,866.3,856.8,828.0,892.3,863.0
3,2024-08-13 13:17:13.358,2060,OK,167.3,898.8,222.5,840.3,265.0,832.5,305.8,841.5,359.0,901.5,319.8,883.3,296.3,883.5,266.3,883.3,266.3,913.3,236.0,883.5,210.0,883.5,222.0,931.3,266.3,934.3,305.3,926.8,337.0,917.8,393.8,909.8,337.8,863.8,312.5,911.0,264.3,934.5,218.5,911.5,188.8,918.8,240.3,899.0,240.0,868.0,292.5,867.8,292.0,898.8,189.0,860.0,150.3,898.8,886.3,868.8,822.5,815.0,779.0,807.8,735.5,817.3,684.3,880.8,725.8,856.3,750.0,856.5,781.3,856.5,781.3,887.0,812.3,856.5,837.5,856.0,825.3,905.5,781.3,908.5,738.8,904.0,704.0,895.5,648.3,891.0,701.8,841.8,733.8,885.5,782.8,910.3,830.5,882.8,860.0,891.3,808.3,872.3,807.8,840.0,754.3,840.3,754.8,872.5,858.0,834.5,895.8,870.0
4,2024-08-13 13:17:13.393,2061,OK,167.3,899.8,223.8,843.8,264.8,837.8,305.8,846.3,362.0,906.3,318.8,886.5,294.8,886.5,266.3,886.8,266.3,914.8,237.3,886.8,210.0,886.5,222.3,936.5,266.3,937.3,304.5,933.0,337.8,923.3,397.5,916.5,338.8,867.8,311.8,914.0,263.0,939.5,217.8,913.8,188.3,922.8,241.0,901.3,241.0,872.3,291.0,871.8,290.3,901.3,189.0,862.3,150.5,900.3,881.5,872.3,820.0,820.3,778.3,813.8,735.5,823.3,682.3,885.3,725.8,860.3,749.5,860.5,780.0,860.8,780.0,890.5,810.5,860.8,837.0,860.3,822.5,911.5,780.0,912.8,738.5,909.3,703.8,899.5,648.8,896.0,701.5,846.5,734.3,890.0,781.8,915.0,829.5,887.8,857.0,897.3,806.5,876.0,806.3,845.0,753.8,845.0,754.0,876.3,855.3,837.8,887.8,872.0
5,2024-08-13 13:17:13.423,2062,OK,167.5,905.3,223.8,850.0,265.5,842.8,306.3,851.3,359.0,910.0,319.3,891.0,295.5,891.0,266.5,891.0,266.5,919.5,237.3,891.0,210.0,891.3,222.8,939.3,266.8,941.0,305.3,934.8,337.0,926.5,394.3,920.5,338.0,873.0,311.8,918.8,264.0,942.5,218.0,918.3,189.3,926.8,241.3,906.0,241.0,876.3,291.5,876.0,291.3,905.8,189.8,868.3,150.8,905.5,884.8,876.8,821.3,823.3,778.8,816.3,735.5,825.8,682.8,888.0,725.8,864.5,749.5,865.0,780.3,865.3,780.3,894.8,811.0,865.0,837.5,864.0,823.5,914.3,780.5,916.0,738.3,911.8,704.0,902.3,648.5,898.5,702.0,849.3,733.5,893.0,781.8,917.8,830.8,890.5,858.3,900.3,807.0,880.3,806.5,849.0,753.8,849.0,754.3,880.3,856.5,841.5,890.3,876.8
6,2024-08-13 13:17:13.457,2063,OK,165.0,908.5,221.5,852.0,262.8,844.8,303.8,853.0,358.0,912.0,316.3,894.0,292.8,894.3,263.3,894.3,263.3,924.3,233.5,894.3,206.8,894.8,220.5,940.8,263.5,943.5,303.3,936.8,335.0,927.8,390.3,921.3,335.8,874.5,310.0,920.5,261.5,944.0,215.5,921.8,187.0,928.3,237.8,909.8,237.5,878.8,288.8,878.5,288.5,909.5,187.5,870.8,147.5,909.3,880.8,879.3,818.3,824.8,776.0,818.0,733.0,827.5,679.0,890.5,723.0,866.0,747.3,866.3,777.5,866.5,777.3,896.0,807.3,866.3,835.3,865.3,820.5,915.0,777.5,917.3,735.5,913.0,701.3,904.0,645.5,901.8,699.5,852.0,731.0,894.5,778.8,918.5,828.5,892.5,854.8,902.0,803.5,881.5,803.3,850.8,751.5,850.8,751.8,881.8,853.3,844.0,886.0,879.5
7,2024-08-13 13:17:13.491,2064,OK,165.3,909.8,222.0,853.0,263.0,846.5,304.3,855.0,358.0,914.5,317.0,895.3,293.3,895.3,264.0,895.3,264.0,924.5,234.8,895.3,207.5,895.5,221.0,942.8,264.3,944.8,303.3,939.0,335.5,930.3,392.3,924.5,336.5,877.0,310.0,922.0,262.0,945.8,215.0,922.0,187.5,930.5,238.5,910.5,238.8,880.3,289.3,880.0,289.0,910.5,188.3,872.0,150.3,909.8,878.0,882.3,817.3,828.3,775.0,821.3,733.0,830.8,678.8,893.0,723.3,869.0,747.8,869.3,777.5,869.3,777.5,899.5,807.3,869.3,835.3,868.3,819.3,918.3,777.8,921.0,735.3,915.3,701.3,906.0,646.3,903.8,699.8,855.3,731.3,898.0,777.8,921.8,827.0,897.0,853.0,904.5,803.3,885.0,803.0,853.0,751.8,853.3,752.0,885.0,851.5,846.5,883.8,883.3
8,2024-08-13 13:17:13.523,2065,OK,163.8,913.8,221.0,856.0,262.5,849.5,303.8,858.0,356.0,918.8,315.8,899.0,291.8,899.3,263.3,899.3,263.3,928.0,233.8,899.3,206.8,899.5,220.0,946.8,263.5,948.0,302.8,943.0,334.8,934.5,391.5,928.3,335.8,880.3,308.0,926.0,261.0,949.8,214.3,925.3,186.3,934.0,238.0,914.3,237.8,884.5,288.3,884.3,287.5,914.0,186.5,875.3,147.8,914.3,874.5,885.5,816.0,831.0,774.0,824.0,732.5,833.5,681.5,896.0,721.5,872.0,746.3,872.3,776.0,872.5,776.0,902.3,805.8,872.3,833.5,871.0,818.0,921.0,776.5,923.8,734.8,918.5,701.8,909.5,646.5,907.8,700.0,857.8,728.5,900.5,776.5,924.8,826.0,899.0,850.8,908.3,802.0,887.5,801.5,856.5,750.0,856.5,750.5,887.8,849.5,849.3,880.0,884.8
9,2024-08-13 13:17:13.558,2066,OK,165.0,919.5,219.8,864.8,261.0,857.5,301.3,866.5,354.5,921.8,315.3,904.8,291.8,905.0,262.3,905.0,262.3,934.8,232.5,905.0,205.8,905.0,219.3,951.3,262.5,953.5,301.0,946.0,332.3,937.3,384.8,929.5,332.8,887.3,309.0,931.5,260.5,953.8,213.8,932.3,186.3,939.0,236.5,920.8,236.5,889.5,288.0,889.3,287.8,920.5,186.5,883.0,148.8,920.8,876.0,892.5,815.0,839.5,772.5,831.8,730.0,840.5,678.5,901.8,720.0,877.8,744.0,878.3,774.5,878.3,774.5,908.5,804.8,878.3,831.5,877.8,816.8,925.5,774.5,928.3,732.3,923.3,698.8,913.8,644.8,913.8,697.0,864.5,727.5,906.0,775.0,929.5,823.8,905.3,850.8,912.5,800.8,894.3,800.5,862.0,748.0,862.0,748.5,894.3,849.8,858.3,884.3,894.3
