,timestamp,id,retcode,left_lm_1_x,left_lm_1_y,left_lm_2_x,left_lm_2_y,left_lm_3_x,left_lm_3_y,left_lm_4_x,left_lm_4_y,left_lm_5_x,left_lm_5_y,left_lm_6_x,left_lm_6_y,left_lm_7_x,left_lm_7_y,left_lm_8_x,left_lm_8_y,left_lm_9_x,left_lm_9_y,left_lm_10_x,left_lm_10_y,left_lm_11_x,left_lm_11_y,left_lm_12_x,left_lm_12_y,left_lm_13_x,left_lm_13_y,left_lm_14_x,left_lm_14_y,left_lm_15_x,left_lm_15_y,left_lm_16_x,left_lm_16_y,left_lm_17_x,left_lm_17_y,left_lm_18_x,left_lm_18_y,left_lm_19_x,left_lm_19_y,left_lm_20_x,left_lm_20_y,left_lm_21_x,left_lm_21_y,left_lm_22_x,left_lm_22_y,left_lm_23_x,left_lm_23_y,left_lm_24_x,left_lm_24_y,left_lm_25_x,left_lm_25_y,left_lm_26_x,left_lm_26_y,left_lm_27_x,left_lm_27_y,right_lm_1_x,right_lm_1_y,right_lm_2_x,right_lm_2_y,right_lm_3_x,right_lm_3_y,right_lm_4_x,right_lm_4_y,right_lm_5_x,right_lm_5_y,right_lm_6_x,right_lm_6_y,right_lm_7_x,right_lm_7_y,right_lm_8_x,right_lm_8_y,right_lm_9_x,right_lm_9_y,right_lm_10_x,right_lm_10_y,right_lm_11_x,right_lm_11_y,right_lm_12_x,right_lm_12_y,right_lm_13_x,right_lm_13_y,right_lm_14_x,right_lm_14_y,right_lm_15_x,right_lm_15_y,right_lm_16_x,right_lm_16_y,right_lm_17_x,right_lm_17_y,right_lm_18_x,right_lm_18_y,right_lm_19_x,right_lm_19_y,right_lm_20_x,right_lm_20_y,right_lm_21_x,right_lm_21_y,right_lm_22_x,right_lm_22_y,right_lm_23_x,right_lm_23_y,right_lm_24_x,right_lm_24_y,right_lm_25_x,right_lm_25_y,right_lm_26_x,right_lm_26_y,right_lm_27_x,right_lm_27_y
0,2024-09-13 03:36:44.228,1632,OK,80.0,685.2,151.5,627.2,200.8,624.0,246.0,639.0,298.0,708.8,256.8,678.2,229.8,678.5,200.2,678.5,200.2,707.8,170.2,678.5,141.0,678.2,144.8,736.0,200.2,733.8,239.5,733.0,277.2,725.0,329.2,717.0,281.2,668.0,247.0,708.8,193.5,739.8,148.8,704.8,104.2,718.5,174.5,693.5,174.2,663.5,226.5,663.5,225.5,693.5,108.5,645.5,64.8,686.8,899.0,725.5,831.0,660.5,781.0,654.0,734.2,666.5,679.5,735.8,724.8,706.0,749.2,706.0,780.2,706.0,780.2,737.5,811.8,706.0,839.5,706.0,834.0,768.2,780.2,763.2,737.5,761.5,699.5,752.5,650.2,741.0,697.5,694.8,733.8,736.2,784.0,769.8,830.8,735.8,875.0,753.5,807.5,722.5,807.8,690.0,752.8,690.0,754.0,722.2,873.5,682.8,916.2,727.0
1,2024-09-13 03:36:44.262,1633,OK,83.0,685.0,154.8,628.0,203.8,625.0,249.5,640.0,301.8,709.8,260.0,679.5,231.8,679.5,204.0,679.8,204.0,707.2,175.5,679.5,145.2,679.2,147.8,735.8,203.8,734.5,242.8,733.5,280.8,725.2,333.2,717.8,285.2,669.2,250.5,709.8,196.2,739.5,152.5,705.2,107.2,717.8,179.5,693.8,179.2,665.8,228.5,665.5,227.5,693.8,111.8,645.8,67.5,686.2,903.0,729.0,835.5,662.2,785.5,655.2,739.0,668.0,684.8,737.2,728.5,707.0,753.2,707.0,784.0,707.0,784.0,738.0,815.2,707.0,843.5,707.0,838.0,769.8,784.0,764.5,741.5,763.0,703.8,754.0,653.2,742.5,702.0,696.2,738.0,737.5,788.0,771.2,835.0,736.8,879.2,755.5,811.0,723.2,811.0,691.2,756.8,691.0,758.0,723.0,877.8,685.0,920.2,730.8
2,2024-09-13 03:36:44.294,1634,OK,82.0,686.8,152.8,628.5,201.8,624.8,247.2,640.0,299.0,709.5,258.2,679.0,230.5,679.2,201.5,679.2,201.5,707.8,172.2,679.2,143.0,678.8,146.0,735.8,201.5,734.2,241.0,733.0,278.5,725.2,331.5,718.0,282.8,669.2,248.2,709.8,194.5,739.5,150.8,705.0,105.5,718.2,176.2,693.8,176.2,664.8,227.2,664.8,226.2,693.8,109.5,646.2,66.2,687.8,901.2,727.8,833.8,662.2,784.0,655.2,738.0,667.8,682.8,737.2,727.2,707.0,751.0,707.2,782.8,707.2,782.5,739.2,815.0,707.2,842.5,707.5,836.8,770.0,782.5,765.2,741.2,763.5,703.0,754.2,652.8,743.2,701.2,696.5,736.5,737.2,787.0,771.8,833.8,736.8,877.8,755.8,810.5,723.8,810.8,691.2,754.5,691.0,756.0,723.8,876.0,684.5,918.5,729.8
3,2024-09-13 03:36:44.330,1635,OK,80.8,689.2,151.5,628.8,200.0,625.2,245.2,641.0,298.0,711.0,256.0,680.2,229.8,680.5,200.0,680.5,200.0,710.0,170.0,680.5,141.2,680.2,145.0,737.5,200.0,735.8,239.2,734.8,277.2,727.2,328.5,719.5,281.0,670.8,246.5,711.2,193.2,741.0,149.0,706.8,104.8,720.8,174.0,695.5,173.8,665.5,226.2,665.5,225.5,695.5,108.5,647.5,64.8,690.2,900.0,728.8,832.8,663.2,783.0,656.2,736.5,668.5,680.8,738.0,725.5,707.8,750.8,708.0,781.5,707.8,781.2,739.0,812.8,708.0,840.5,708.0,835.5,771.0,781.2,766.0,739.8,764.5,701.5,754.8,652.2,744.2,699.8,696.5,735.0,738.5,786.0,773.0,832.0,737.8,876.5,756.0,808.5,724.2,808.8,692.0,754.0,691.8,755.2,724.0,875.0,686.0,917.5,731.0
4,2024-09-13 03:36:44.359,1636,OK,80.5,690.2,151.2,630.8,200.2,627.8,245.2,643.0,297.8,713.5,256.2,681.8,230.2,682.0,200.0,682.0,200.0,712.8,169.2,682.0,141.0,681.8,144.8,739.0,200.0,738.0,238.8,736.5,276.8,729.2,328.2,722.0,281.0,672.8,246.2,713.2,193.0,742.8,148.8,709.0,104.5,721.5,173.5,697.8,173.2,666.5,226.8,666.5,225.8,697.8,108.5,649.2,64.0,691.2,900.8,732.5,833.0,665.8,782.8,658.5,736.2,670.8,681.2,740.8,725.2,709.8,749.5,709.8,781.0,709.8,781.0,741.8,813.2,709.8,840.5,710.0,835.5,773.0,780.8,768.0,739.0,766.2,700.8,757.0,650.8,746.5,699.2,699.2,735.0,740.8,785.5,774.5,831.8,740.0,876.2,759.0,808.8,726.5,809.2,693.5,753.0,693.2,754.5,726.2,875.0,689.2,918.2,734.2
5,2024-09-13 03:36:44.397,1637,OK,79.2,692.5,150.5,632.8,199.8,630.0,245.0,645.5,297.0,715.5,255.8,684.5,229.8,684.8,199.8,684.8,200.0,714.5,169.5,684.5,141.0,684.5,143.5,740.8,199.8,740.2,238.5,738.8,276.5,731.5,327.5,723.5,280.8,674.8,246.0,715.5,192.5,744.8,148.8,711.2,102.8,723.5,173.8,700.0,173.5,669.5,226.5,669.5,225.2,699.8,107.0,651.2,63.0,693.8,899.8,735.0,832.2,667.8,782.2,660.8,735.8,673.2,681.0,742.5,725.5,712.8,749.2,712.8,780.5,712.8,780.5,744.8,812.8,712.8,840.2,712.8,834.5,774.8,780.5,770.0,738.5,768.0,700.2,759.0,650.5,748.2,698.5,701.5,734.8,743.0,784.5,776.2,831.8,742.0,875.5,761.2,808.2,729.5,808.5,696.5,752.8,696.2,754.0,729.2,874.2,691.0,916.5,736.0
6,2024-09-13 03:36:44.428,1638,OK,79.2,693.2,150.2,635.0,199.0,632.2,244.0,647.5,295.5,717.5,254.5,686.5,228.0,686.5,198.2,686.5,198.2,716.8,168.0,686.5,140.2,686.2,143.2,742.5,198.2,742.2,237.2,741.0,275.5,733.5,326.0,726.2,279.8,676.8,244.8,718.2,191.5,747.0,147.8,713.2,103.0,724.5,172.2,702.0,172.0,671.2,224.5,671.2,223.2,702.0,107.2,652.0,63.2,694.2,898.5,736.2,830.8,669.2,780.5,663.0,734.5,675.8,679.5,745.0,724.2,714.8,748.8,715.0,779.8,715.0,779.8,746.2,811.5,715.0,839.2,715.0,833.5,776.8,779.5,772.0,737.5,770.0,699.0,761.0,649.2,750.8,697.2,704.0,733.8,745.2,783.2,778.5,830.5,744.2,874.8,763.0,807.2,731.5,807.5,699.0,752.2,698.8,753.5,731.2,873.0,691.8,915.2,737.5
7,2024-09-13 03:36:44.462,1639,OK,80.2,695.2,151.2,636.0,200.5,632.8,245.8,648.5,297.8,718.2,256.5,686.5,230.0,686.8,200.5,686.8,200.5,716.0,171.0,686.8,142.0,686.5,144.2,743.5,200.5,742.0,239.2,741.5,277.0,734.2,327.8,725.8,281.2,677.8,246.8,717.8,193.0,747.5,149.5,712.8,103.8,726.0,175.0,701.8,174.5,671.8,226.8,671.8,225.5,701.5,108.0,654.0,63.8,696.2,901.0,735.0,832.8,669.0,782.2,662.8,736.0,675.5,681.0,745.0,725.5,714.5,749.5,714.5,781.0,714.5,781.0,746.5,813.0,714.8,840.8,714.8,835.5,777.2,780.8,772.5,739.0,770.8,700.8,761.5,652.0,750.0,698.8,703.5,734.8,745.2,785.2,779.0,832.2,744.0,877.2,763.0,808.5,731.2,808.8,698.2,753.0,698.2,754.5,731.2,875.5,691.8,917.2,736.8
8,2024-09-13 03:36:44.494,1640,OK,78.2,694.5,150.0,634.8,199.8,631.5,245.5,646.8,296.5,718.0,256.0,686.0,230.0,686.2,199.8,686.2,199.8,716.5,169.0,686.2,141.5,686.0,143.0,743.2,199.8,741.8,238.8,740.8,277.2,733.5,328.0,726.0,281.5,676.8,246.0,717.2,192.2,747.2,149.0,712.8,102.0,725.8,173.2,701.8,172.8,671.0,226.5,671.0,225.5,701.8,106.2,653.2,62.0,696.2,901.8,734.8,833.0,668.5,783.0,662.2,736.8,675.0,682.8,744.8,726.2,714.0,750.5,714.0,781.8,714.2,781.8,746.0,813.8,714.2,841.8,714.2,836.0,777.2,781.8,772.0,739.8,770.5,701.5,761.2,651.0,750.5,699.5,702.8,735.5,745.2,786.2,778.8,833.0,744.0,877.5,762.8,809.5,731.0,809.8,697.8,754.0,697.5,755.2,730.8,875.8,691.0,918.8,736.5
9,2024-09-13 03:36:44.528,1641,OK,78.5,693.5,149.0,634.0,198.2,630.8,244.0,646.5,296.5,717.0,254.8,685.2,228.0,685.2,198.8,685.5,198.8,714.8,169.0,685.2,140.2,685.0,142.0,742.5,198.8,740.8,237.2,740.5,275.8,733.0,327.0,725.5,280.0,676.2,245.2,716.2,190.8,746.8,147.8,712.0,101.5,725.0,173.2,700.2,172.8,670.2,224.5,670.2,223.5,700.2,105.8,652.2,63.0,694.2,899.8,734.8,831.5,668.2,781.8,662.0,735.2,674.8,679.2,744.2,724.5,713.5,749.0,713.8,780.5,713.8,780.5,745.5,812.2,713.8,840.0,713.8,834.0,776.0,780.2,771.2,738.0,769.8,699.5,760.2,649.8,749.2,697.8,703.0,734.2,744.5,784.5,777.8,831.2,743.0,875.5,762.0,808.0,730.5,808.2,697.5,752.8,697.2,754.0,730.0,873.8,690.8,916.2,736.2
